time,latitude,longitude,mag
2021-04-11T03:42:00.619Z,28.3401,-103.3944,3.2
2021-04-23T05:00:38.386Z,38.1536,-117.8909,3.2
2021-04-26T22:46:49.369Z,31.66201527,-104.3019408,3.2
2021-04-28T01:30:27.606Z,38.1675,-117.8373,3.2
2021-04-30T10:15:30.983Z,32.11761475,-102.1385528,3.2
2021-05-08T11:04:43.522Z,38.6894,-97.0353,3.2
2021-05-08T17:04:55.583Z,38.7069,-97.0326,3.2
2021-04-29T17:12:19.480Z,35.653,-117.4393333,3.14
2021-04-11T09:45:36.990Z,35.7846667,-117.603,3.13
2021-04-09T00:33:47.080Z,33.9323333,-116.7873333,3.11
2021-04-12T06:20:22.175Z,31.73239965,-104.5931127,3.1
2021-04-15T22:25:49.667Z,31.1552793,-103.0473729,3.1
2021-04-17T20:59:23.431Z,31.66273084,-104.2973713,3.1
2021-04-18T00:33:36.828Z,31.64889419,-104.3058728,3.1
2021-04-18T20:54:48.061Z,32.86468506,-101.0045494,3.1
2021-04-26T04:05:56.810Z,38.7536667,-122.7,3.1
2021-04-27T13:21:18.938Z,31.68614939,-104.1691503,3.1
2021-05-06T18:20:33.736Z,39.7458,-98.0121,3.1
2021-05-07T04:37:37.341Z,39.4729,-120.3198,3.1
2021-05-07T06:30:18.621Z,38.7173,-97.0321,3.1
2021-05-08T21:03:01.810Z,31.67969884,-104.415137,3.1
2021-04-22T07:00:10.340Z,37.5453333,-118.78,3.09
2021-04-15T18:05:03.520Z,35.6786667,-117.5368333,3.06
2021-05-06T21:39:07.050Z,32.9128333,-118.6066667,3.04
2021-04-15T07:26:31.059Z,36.96183333,-98.09133333,3.02
2021-04-23T06:51:07.920Z,35.0608333,-116.6198333,3.01
2021-05-05T11:24:38.930Z,31.453,-115.722,3.01
2021-04-10T03:57:58.440Z,34.1475,-116.4451667,3
2021-04-13T15:32:26.347Z,44.4511,-115.2229,3
2021-04-14T01:02:05.929Z,31.59224671,-104.2441051,3
2021-04-17T01:01:37.621Z,31.65906653,-104.2951894,3
