time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-08T12:07:39.518Z,31.9384,140.5507,75.54,4.7,mb,,113,1.328,1.01,us,us7000e1bq,2021-05-08T12:43:25.040Z,"Izu Islands, Japan region",earthquake,7,7.4,0.035,245,reviewed,us,us
2021-05-08T17:01:46.320Z,-24.6238,-177.4757,118.49,4.7,mb,,129,11.935,0.64,us,us7000e1dv,2021-05-08T21:03:02.040Z,south of the Fiji Islands,earthquake,14.9,7,0.068,71,reviewed,us,us
2021-05-07T04:35:14.150Z,39.461,-120.3145,10.12,4.65,mw,19,50,0.03461,0.09,nc,nc73559265,2021-05-10T04:03:36.527Z,"19km NW of Truckee, CA",earthquake,0.24,0.54,,3,reviewed,nc,nc
2021-05-03T11:42:39.734Z,36.6935,94.1681,10,4.6,mb,,103,10.699,0.61,us,us7000dzp8,2021-05-03T12:10:04.040Z,"northern Qinghai, China",earthquake,10.2,1.9,0.08,47,reviewed,us,us
2021-05-03T11:46:46.713Z,-6.2098,-81.5446,10,4.6,mb,,131,6.235,0.49,us,us7000dzp9,2021-05-03T12:30:44.040Z,"107 km SW of Sechura, Peru",earthquake,7.6,1.7,0.078,49,reviewed,us,us
2021-05-03T12:50:33.787Z,1.2214,126.4766,48.09,4.6,mb,,88,0.995,1.05,us,us7000dzph,2021-05-03T13:12:07.040Z,"111 km WNW of Ternate, Indonesia",earthquake,4.7,7.6,0.088,38,reviewed,us,us
2021-05-03T19:29:38.366Z,-20.5122,-178.3143,569.18,4.6,mb,,102,4.401,1.13,us,us7000dzsv,2021-05-03T20:04:37.040Z,Fiji region,earthquake,15.5,7.5,0.055,97,reviewed,us,us
2021-05-03T20:47:22.202Z,-15.0874,-72.7012,115.01,4.6,mb,,144,3.969,0.81,us,us7000dzu1,2021-05-07T02:04:08.351Z,"3 km SSW of Puyca, Peru",earthquake,7,11.8,0.137,16,reviewed,us,us
2021-05-04T08:01:47.783Z,-4.8486,-76.552,113.52,4.6,mb,,139,4.776,0.74,us,us7000dzyk,2021-05-04T08:20:24.040Z,"13 km E of Barranca, Peru",earthquake,9.6,7.1,0.039,193,reviewed,us,us
2021-05-04T16:05:23.447Z,24.4992,122.9117,95.54,4.6,mb,,62,0.096,0.73,us,us7000e011,2021-05-04T16:46:45.040Z,"9 km WNW of Yonakuni, Japan",earthquake,6.9,4.1,0.152,13,reviewed,us,us
2021-05-05T05:05:51.420Z,-15.5822,-173.578,67.89,4.6,mb,,69,2.405,0.9,us,us7000e08x,2021-05-05T05:24:35.040Z,"47 km NNE of Hihifo, Tonga",earthquake,9.9,7.3,0.036,229,reviewed,us,us
2021-05-05T07:42:35.318Z,40.2803,143.4043,12.43,4.6,mb,,151,1.743,0.67,us,us7000e09t,2021-05-05T09:31:00.040Z,"off the east coast of Honshu, Japan",earthquake,8.7,4.7,0.112,24,reviewed,us,us
2021-05-05T14:08:31.278Z,51.2054,158.5475,4.7,4.6,mb,,,,0.66,ak,ak0215qyl4ef,2021-05-05T20:37:45.091Z,"146 km ESE of Ozernovskiy, Russia",earthquake,,11.7,,,automatic,ak,ak
2021-05-06T04:29:23.144Z,13.5574,125.2026,10,4.6,mb,,136,10.941,0.47,us,us7000e0jh,2021-05-06T23:34:46.040Z,"91 km ESE of Gigmoto, Philippines",earthquake,15.2,1.9,0.092,35,reviewed,us,us
2021-05-06T05:27:27.708Z,-15.6509,-177.4828,416.29,4.6,mb,,99,4.757,0.87,us,us7000e0jn,2021-05-06T06:04:07.040Z,"162 km SSE of Alo, Wallis and Futuna",earthquake,13.3,6.8,0.029,353,reviewed,us,us
2021-05-06T12:18:03.669Z,-21.2816,-68.5422,113.11,4.6,mb,,43,0.913,1.08,us,us7000e0lu,2021-05-07T03:23:57.509Z,"135 km NNE of Calama, Chile",earthquake,5.3,6.5,0.037,217,reviewed,us,us
2021-05-06T13:31:12.761Z,16.561,-100.07,10,4.6,mb,,209,1.749,1.07,us,us7000e0mw,2021-05-06T23:15:01.075Z,"36 km SSW of Acapulco de Juárez, Mexico",earthquake,8.7,2,0.032,285,reviewed,us,us
2021-05-07T07:10:43.725Z,6.0555,125.9646,140.88,4.6,mb,,110,1.077,0.45,us,us7000e0xq,2021-05-07T07:38:48.040Z,"29 km E of Lamitan, Philippines",earthquake,9.2,7.7,0.058,90,reviewed,us,us
2021-05-07T15:01:40.670Z,-21.9266,-68.7616,116.74,4.6,mwr,,42,0.464,1.21,us,us7000e12z,2021-05-07T16:54:52.793Z,"61 km NNE of Calama, Chile",earthquake,5.3,4.2,0.058,29,reviewed,us,us
